source,destination,distance_in_km,time_of_day,traffic_level,weather,route_risk,delay_probability,risk_level,time_delay
Sonipat,Ghaziabad,22,Evening,Low,Clear,9.611988304,0.544177647,Low,8.17528094
Faridabad,Delhi,20,Morning,High,Clear,6.570431288,0.803322029,Medium,1.283593761
Ghaziabad,Faridabad,22,Night,Low,Rain,0.548952041,0.025977464,Low,9.304897171
Meerut,Sonipat,70,Evening,High,Storm,8.861442874,0.991122067,High,7.752483862
Delhi,Faridabad,20,Morning,Low,Storm,9.492603161,0.982023475,Medium,1.630306541
Gurugram,Mathura,32,Evening,High,Rain,9.870429787,0.061456799,Medium,5.135373919
Ghaziabad,Gurugram,32,Morning,Medium,Rain,2.954216314,0.979537535,Medium,7.432757901
Ghaziabad,Delhi,20,Afternoon,High,Storm,7.158867746,0.223532662,Low,1.323351023
Faridabad,Noida,18,Morning,High,Storm,3.587066777,0.233777644,Low,0.739935447
Meerut,Sonipat,70,Evening,High,Clear,1.472211821,0.565847898,Medium,6.389036515
Meerut,Delhi,20,Morning,Low,Clear,8.416565264,0.604883046,Medium,9.992328992
Delhi,Noida,20,Morning,Medium,Clear,9.90750663,0.772312782,Medium,9.490775722
Gurugram,Noida,18,Evening,High,Rain,3.390478709,0.977960847,Medium,7.926191099
Gurugram,Mathura,32,Night,High,Rain,8.988752767,0.882028823,Medium,9.201606213
Meerut,Gurugram,32,Afternoon,Medium,Rain,9.999335437,0.876672039,Medium,9.861825353
Ghaziabad,Ghaziabad,30,Morning,Low,Clear,4.986957496,0.997019821,Low,1.239944372
Mathura,Delhi,20,Morning,Low,Storm,9.720374521,0.324166684,Low,0.687970693
Sonipat,Noida,18,Evening,High,Clear,8.035103685,0.720062559,Medium,8.111611256
Sonipat,Meerut,70,Evening,Medium,Storm,8.645449487,0.107616911,Medium,8.949880584
Delhi,Gurugram,20,Evening,Low,Rain,4.865510183,0.356868363,Low,0.901131192
Mathura,Noida,18,Night,Medium,Clear,5.157934249,0.999807267,Medium,8.760505449
Ghaziabad,Delhi,20,Morning,Medium,Storm,9.228818074,0.945996557,Medium,8.515219729
Delhi,Ghaziabad,20,Evening,Medium,Clear,9.48664807,0.618584355,Medium,0.42523392
Faridabad,Gurugram,32,Night,Medium,Storm,2.046978578,0.926330413,Medium,9.998837537
Delhi,Faridabad,20,Evening,Medium,Storm,5.418797388,0.999782577,Medium,1.131495628
Delhi,Faridabad,20,Night,Low,Storm,9.649943451,0.9928995,Medium,0.374549602
Faridabad,Delhi,20,Evening,Low,Rain,8.833062607,0.920586365,Medium,8.059740945
Gurugram,Noida,18,Morning,High,Clear,2.511617571,0.538669906,Low,9.486007012
Meerut,Mathura,70,Morning,Low,Clear,9.151203297,0.832884211,Medium,6.64758754
Sonipat,Meerut,70,Morning,High,Storm,6.908288703,0.177607798,Medium,1.20970388
Gurugram,Meerut,32,Night,Medium,Clear,9.800552623,0.831735193,Medium,9.999586261
Faridabad,Mathura,28,Night,High,Clear,6.508680278,0.193174385,Low,7.247940276
Gurugram,Noida,18,Morning,Low,Rain,9.60455982,0.80448301,Medium,8.838363711
Sonipat,Mathura,160,Evening,Low,Rain,2.011103665,0.976278369,Medium,0.890620237
Noida,Meerut,18,Afternoon,High,Clear,8.651285674,0.959168199,Medium,1.128403825
Gurugram,Sonipat,32,Night,High,Clear,0.3901149,0.770562828,Low,7.480515434
Delhi,Faridabad,20,Evening,Medium,Clear,9.035635197,0.998942774,Medium,8.135624026
Meerut,Gurugram,32,Night,Low,Storm,9.454782639,0.928103354,Medium,9.876390331
Meerut,Mathura,70,Evening,Low,Storm,9.999581955,0.945385059,High,9.628098741
Sonipat,Ghaziabad,22,Evening,Medium,Clear,9.035462938,0.104348303,Medium,0.37319539
Noida,Delhi,20,Afternoon,High,Rain,9.999999746,0.99987824,Medium,9.327362483
Sonipat,Meerut,70,Evening,High,Storm,0.444060898,0.77021931,Medium,7.606991432
Mathura,Noida,18,Evening,Low,Clear,9.897623321,0.018010042,Low,6.177391812
